id,content,lang
2096,  ,unknown
2097,   ,unknown
2098, Mara ntja you are being stupid now It is not your duty to go around arresting drug dealers you should have taken that kid along to police stasie and confess what she told you then police will raid that drug housesimple,unknown
2099," Hiw are guys doing out there hope you learned a lesson today on how to report next time akere
operationdudula
South Africa ",unknown
2100,Aaron Motsoaledi has made it clear that South Africans are fed up with Zimbabweans whether documented or not OperationDudula VoetsekSAMedia PutSouthAficansFirst,unknown
2101,This is where PutSouthAficansFirst OperationDudulathe community come in  ,unknown
2102,  They looking for those said foreigners or any other south african who cant speak tswana or fluent in Zulu,unknown
2103," how are you feeling since you had a chance to speak to minister Aaron motsweledi
Not like this I hope 
operationdudula
South Africa ",unknown
2104,A white man chinese are called tourists in South Africa but blacks are called illegal foreigners,unknown
2105, Well they said when the chips are down it will be a civil war if you cant speak Zulu u r in trouble very soon Limpopo will be for pedis kzn zulus if you cant speak that language operation dudula it started with those they say are foreigners but whites are tourists,unknown
2106,"  I didnt see this on the news at all What actually happened here
Who is fooling who do you care to explain
Maybe you forgot they must be there
operationdudula
South Africa ",unknown
2107,This policeman should be suspended for this nonsense Hows a trained policeman behaving like a operation dudula lunatics ,en
2108,  Your question is irrelevant and secondly ask the people in Diepsloot they might have an answer for you Diepsloot OperationDudula Commanders Morning PutSouthAficansFirst,en
2109,"Ho rough out there people are trying hard to bad mouth operationdudula
And we launch a branch at Durban ",unknown
2110,    Wow I guess Elvis deserved to die eveyaphi ESouth Africa with no documents Goodriddence to baggage ,unknown
2111,  drug overdose deaths per year  of all deaths are from drug overdose The death rate is  deaths out of every  residents  is saving lives EFF supporting murderers amp  ILLEGAL FOREIGNERS ARE THE MURDERERS  ,unknown
2112,A community member is saying we dont feel safeits like we have to move for foreigners,unknown
2113,"what a painful death

DBNgogo 
OperationDudula 
Lasizwe ",unknown
2114, Anti foreign murderers rapists cash in transit robbers and thugs you mean to say Dont make as if its a target against innocent documented foreigners Dont perpetuate shit here This man here  promised to deal with this issue when he got elected but has kept mum ever since ,unknown
2115,For the next  months foreigners wont be at peace at diepslooot ,unknown
2116,"He its happening now
Its happening
operationdudula
South Africa ",en
2117,"  Have you done engaging the citizens regarding the OperationDudula 
Or its all about the yourself ",unknown
2118,I was forced my contract was terminated because I turned  this year now Im unemployed and back to square one JobSeekersSA Endageism OperationDudula ElvisNyathiIsUs PutSouthAficansFirst,unknown
2119,Dear Mr President here is good suggestion that can save us all We are all humans and the ground floor is needing much more intervention and mediator from your office  Illegal immigrants is still a sensitive issue that will out of hand as the community need help ,en
2120,Not Minister Motsoaledi saying VoetsekSAMedia on live television OperationDudula illegal immigrants are going home,unknown
2121,"Is this True sowetan

operationdudula
South Africa ",unknown
2122,Its about time l support we have experience qualification and what is it they want This is their way of cutting down on salaries get someone younger and less salary EndAgeism JobSeekersSA OperationDudula SenzoMeyiwa ElvisNyathi,en
2123,We are the movement of the unemployed We use the little we have to fund our campaign Please donate any amount so we can have an website EndAgeism JobSeekersSA OperationDudula SenzoMeyiwa ElvisNyathi ,en
2124,We are the movement of the unemployed We use the little we have to fund our campaign Please donate any amount so we can have an website EndAgeism OperationDudula ElvisNyathi JobSeekersSA ,unknown
2125,Its about time  this happen we are forced to age early due to being pushed out of jobs earlier than we want to or alternatively after  no job how can a  year old be forced to be unemployed  OperationDudula ElvisNyathi SenzoMeyiwa,unknown
2126,"This is a generalisation

Black people run in some cases sophisticated stokvels all over SA the combined value of which is estimated in the hundreds of billions

Even banks want a piece of that mostly informal action

OperationDudula would have to learn from Afriforum ",unknown
2127,"OperationDudula
Even in biblical times there were problems with foreigners ",en
2128,"Damn some people are fucking stupid

It brings me to swear

Do I really have to spell it out

If OperationDudula copying Afriforum were to say membership starts at Rmonth fee amp lets assume   people sign up thatd be a great start to building an organisation",en
2129,"Westridge  is a discrace to our Country a waste of tax payers money we are not lead   South Africa
government saps OperationDudula",unknown
2130,The people who took the law upon themselves amp set fire to another human being are criminals that need to rot in jail May his spirit not rest till all of them are found No killings will solve the issues we face in S A We still fight illegal immigrants to go but not by killings,unknown
2131,Phakama Minister Dr Aaron Motsoaledi OperationDudula ,en
2132,This country does not belong to ANC crooks OperationDudula Diepsloot VoetsekSnukiZikalala ExecuteTraitors VoetsekSAMedia VoetsekANC,unknown
2133,"OperationDudula members must stop encouraging citizens to do stuffs that will make the whole country look xenophobic 
LET THE POLICE DO THEIR JOB ALONE 

PEOPLE NEED SPIRITUAL HELP FOR THEIR THINGS TO GO WELL IN LIFE",unknown
2134,"You love illegal foreigners

Move to Zimbabwe  and he happy there

PutSouthAficansFirst",unknown
2135,"Those feeling sorry for illegal immigrants in South Africa why cant they all go to Zimbabwe so they can be live them there

OperationDudula PutSouthAficansFirst",unknown
2136,  If they are being fair why those  mureders which happend over the weeknd which triggered this whole situation not being covered  life of illegal immigrant is worth more than  lives VoetsekSAMedia  VoetsekEFF VoetsekANC,en
2137,"Theres something funny about this Elvis Nyathi illegal foreigner

There is possibility that he was killed by other Zimbabweans

The story was actually cooked by the journalists to shift the narrative for illegals can get mercy for the people

OperationDudula VoetsekSAMedia",unknown
2138,"Afroxenophobia isnt new It just evolves

A study by the South African Migration Project in  found that South Africa had the highest levels of opposition to immigration despite the Rainbow Nation discourse at the time

OperationDudula draws on our national paranoia",unknown
2139,  The only difference is that were seen as the immigrants then,unknown
2140,It is the only way to curb the influx of illegal undocumented immigrants in our country We all know why it is happening now It has nothing to do with Apartheid Regardless of the colour of your skin the  will stop you and ask for identification we are tired ,unknown
2141,The    must act quick before thing gets out of hand because they will and very soon It is completely unacceptable to have so many illegal undocumented foreigners and then we ask the question why is it happening why is there nothing done,en
2142,You call us xenophobic voetsek They must fokof and get passports and come into our country with scarce skill or as tourist or as investors other than that they must not come into our country We have our own problems like high unemployment lack of services OperationDudula,en
2143,Why are these illegal immigrants not going into neighboring Botswana Its simply because in Botswana there is law and order South Africa is a playground for illegal undocumented immigrants because there is no law the  is full of corrupt bops who take bribes,unknown
2144,They are burdening our already over stretched health care they are contributing to crimes we see a rise in Cooper theft mostly done by them these illegal immigrants They are used as hitman because they cannot be traced To hell with the term xenophobia We want law amp order,en
2145, Our Gov is not proactive  they react to things OperationDudula took on Alex our police started arresting foreigners including illegal Chinese and Indians,en
2146,I like Mashaba an ActionSA they know when to support OperationDudula and when not to,en
2147,South Africa cant belong to foreigners,en
2148, OperationDudula must visit you ,en
2149," No one is refusing foreigners to come here

Come with relevant documents and respect our laws simple",en
2150,What i like is tha illegal foreigners keeps on proving that thy do wrongs things in SA whether a politicians somewhere disagree with us on certain principle is irrelevant,unknown
2151,Saps and Home affairs wil frustrate the politicians by doing its job Tx to OperationDudula,en
2152, Yandi asks to be educated and none of the responses are doing that instead umntana bantu uyathukwa Ive noticed this with illegal  Foreign sympathizers No facts just victim mentality and vulgar I see no wrong in asking a question  OperationDudula DiepslootProtest ,unknown
2153, and all other government officials when are you going to take Leadership and counter for what this boy NhlanhlaLux is doing terrorizing the community Why OperationDudula is allowed to operate in these communities SAPS must arrest all instigators of Xenophobia ,en
2154,"  Ask Ramaphosa not Trevor Trevor is not president y
What nonsense is this you should have asked Ramaphosa why are u letting lot of illegal foreigners in the country ",unknown
2155,"Heres a useful tip to the dolts who think black SAns or poor people the euphemism often used dont have resources

Look at size of the informal amp mostly township stokvel savings market

OperationDudula would be well funded if it organized amp formalised like Afriforum",unknown
2156,"Yes black people dont have the same resources as Afriforumindeed they have MORE much more

Thats why I disagree with your pityparty blacks are victims narrative

If OperationDudula were to organize and formalize like Afriforum itd be much bigger ",unknown
2157,So many conflicting opinions on the issue of illegal immigrants unfortunately some need to be crushed we are a democratic country so we go with the masses regardless how dumb or unfounded their opinions or ideas maybe,en
2158,OperationDudula gangsters including their stupid Leader  and all those who supports their criminality must stop blackmailing us with their News  propaganda There are no  people that were killed over the weekend Its a lie ,unknown
2159,Bo Dumelang are not us We are OperationDudula and PutSouthAfricanFirst ,en
2160, Lived experience ln  I was hijacked by  men and I could tell they were not SAns If many of us tell our ordeal and it turns out that the common denominator is foreigners are we been Xenophobic,unknown
2161,Real criminals are South African Home Affairs officials and South African Police that take bribes just to register illegal foreigners and keep them in our country I wish these illegal foreigners can commit horrendous crimes against the family members of these crooked officials,unknown
2162,   Are there govt officials saddled with the responsibility of ensuring undocumented immigrants dont enter the country or not And in cases where undocumented immigrants make their way in unauthorised South Africans going around and killing them is the best way to tackle it,unknown
2163,We will know what actually happened that night who was attacking community of diepsloot at night and people were killed reporters are bored cause of this reports maybe theres a bonus if you can get reports that operationdudula did this who knows ,en
2164,"The defense system is melting down some will delete their tweets
operationdudula
South Africa ",en
2165,"Nibe nosuku olunjengami

Sun City Foreigners President Zuma Shower SenzoMeyiwa ",unknown
2166,"Detectives on duty conducting investigation putting together any small evidence they can get even information out side  not under police act

operationdudula
South Africa ",unknown
2167,"Its out on YouTube Dbn gogo OperationDudula SenzoMeyiwa
 ",unknown
2168, Tag     ,unknown
2169,  ZanuPf voters cant blame South Africans  for defending their own country   Blame your own government  for  the failure to deliver jobs corruption political  chicanery and basic services to communities  OperationDudula,en
2170,ANC voters cant blame foreigners for the ANC governments own failure to deliver jobs controlled migration and basic services to communities ,unknown
2171,   Stupido put ur fact together before embarrassing yourself,unknown
2172, Lets remind the media that bro Vuyo Mvoko was robbed live on TV by our hard working brothers from nextdoor He could have been killed that day OperationDudula PutSouthAficansFirst nhlanhlalux malibuyeizwelethu ,unknown
2173,   Come here and show me the educated ones most have bought their qualifications stop with this mentality of saying foreigners are educated,en
2174,Shocking video of SA police asking a Shangan woman and a shangan man what is name of an elbow Cry the beloved country OperationDudula ,en
2175,   So when did operation dudula thugs claim that As you claim,unknown
2176,"Thats selfdeprecatory

It implicitly paints poor amp marginalized blah blah people as incapable of organizing themselves

Day you stop viewing people that way will be the day you free yourself from the Im a victim pity party

Thats my free advice to OperationDudula folk ",unknown
2177,"WORD OF WISDOM 
If U never heal from what hurt U Ull bleed on people who didnt cut U South Africa is Bleeding on Foreigners from the cut her Government did on them   
Diepsloot  
Ghostingstory",en
2178,As for Dudula we still have a long way to go but will never give up on our Country we want the foreigners to go back home PutSouthAficansFirst togethernes forward we go MR LUX,unknown
2179,  Which murder of Sithole now ,unknown
2180,Again ngiyasho stop this OperationDudula stokvel it wont end well look now ,en
2181,  Cry harder ,unknown
2182,  The word was foreigners ,unknown
2183,"Look at Afriforum for an example chief

They too began as a community organized movement

However they had the vision and knowhow to make it bigger more effective and formal by way of structures stable funding model amp units with purpose

OperationDudula must do the same ",en
2184," WORD OF WISDOM If U never heal from what hurt U Ull bleed on people who didnt cut U Thats what just happened to U by Kgotso  just take it on the chin n move on but take yo stand SA is Bleeding on Foreigners from the her Government did
PowerTalk",en
2185,"OperationDudula Please attend to Spar Montana Zimbs under the ownership of Chris Portuguese are unfairly treating our brothers and sisters
operationDudula Seshego nhlanhlalux",unknown
2186,  what is the average age of your cabinet  Ive been hearing the same names since I was in primary school How do you expect change to take place when the failing leadership isnt changed OperationDudula SenzoMeyiwa,en
2187," thank you very much 
OperationDudula 
PutSouthAficansFirst  ",unknown
2188,"SA Politiciansmedia citizens cried yesterday for the crusome death of ElvisNyathi justifiable somy wish is that can we do the same with fellow South African Support them when they die at the hands of illegal foreigners and even us 

Can we be there for our own also",unknown
2189,Congratulations to Operation Dudula PutSAst and OkaeMolao Diepsloot is repossessed,en
2190,These operations have to be the norm across the country Maybe if the police actually did their work on the regular theyd be a little leaner and agile Diepsloot OperationDudula PutSouthAfricaFirst ,unknown
2191,"What gives the thugs of Dudula tge right to enter a private house hold uninvited and demand ID 

Its time to arrest the Dudula thugs OperationDudula",en
2192,This issue is Sad because we dont want foreigners especially Blacks who are poor but want to protect the Rich and wealthy and my issue is if they are illegally here why dont they go get their papers then come back onceproblem illegal immigration are on the payroll,unknown
2193,The truth is kwa Gogo lana eSouth Africa why would so many foreigners be here if it was a serious about laws and order  people only go to a country were there are no laws ask Tokolo from TKZee what happened eBotswana  they dont take kak like us we a Banana Republic Diepsloot,en
2194, The useless Malema is crying for this one Zim guy instead of crying for the seven murdered south africans by the Zimbabwe,en
2195,Because the fight is about illegal immigrants if you have the papers why should you worry just produce evidence and you are done if not go back home and get your papers in order theres no Rocket Science in that but I guess not I South African wow we one crazy Country shem,unknown
2196, South Africans have a reason to complain please look an address their issues or the country will burn We have a serious illegal immigrant problem but u can ingore it at ur own scc ,en
2197,So much truth and they still defend themselves Whats worse they now match to ask for our minister of immigrants and home affairs to step down All we are asking from them is legal documents Crime rate is shooting sky high as our prisons are full with them ,en
2198,In my view Foreigners r not safe in South Africa They should go bck home,unknown
2199,    Lol your self you looking like an Alien  very shapeless I have never seen a beautiful woman having problems  with Foreigners  lol only pple like you,en
2200,Then why are South Africans against operation dudula when other countries are doing it is that being xenophobic  ,unknown
2201,"   you are responsible for the death of Elvis Nyathi
I am baffled by the silence of  They cant even hold accountable government ministers working with vigilante groups
We want the list of ministers meeting with Lux",unknown
2202, Our Down Fall is Not taking Responsibility and Discipline our Leaders Being At Each Others Throat Only Push Us out of the Mandate Politics must Fall Too Diplomatic to stick on Rules and Regulations of the Country,en
2203,South Africans say illegal immigrants must go Ramaphosa says government will not condone acts of criminality as they call it but surprisingly it condones illegal immigration into our country which is a criminal act to enter a another country without legal documents,en
2204,Its a cooked up story to fuel violence against African immigrants Bheki Cele and SAPS couldnt confirm this story ,unknown
2205,     O stlaela shame,tn
2206, Kahle kahle vanhu lava va hi lava hi file These illegal immigrants will wipe us all,zu
2207, Eff e mborile kao supporta illigal immigrants,unknown
2208,"Criminality is criminality irrespective of the Nationality of the criminals Criminals who commit crime should face the full might of the law irrespective of whether they are South Africans or Foreigners
XenophobiamustFall
AllLivesMatter ",en
2209,"Fan flames on vigilantism amp xenophobiawill have bloodstained handsIve been subjected to this far too long
First they come for foreigners silencethen come for the whites silence dont be surprised when they come for your tribe until nothing left
Xenophobiamustfall",en
2210,"Did you also send your deepest condolences to the  South African families who lost their loved ones
VoetsekDA VoetsekSAMedia PutSouthAfricaFirst Diepsloot OperationDudula ",unknown
2211, You see places like Diepsloot Cosmo City and Honeydew there are lots of foreigners in those are yes there are foreigners everywhere but those that i mention plenty of foreign nationals there hence they fight back,unknown
2212," Did he say anything about the South Africans who were killed by foreigners few day before

Was there anything about thst foreigner in seshego

This Politicians are forgetting who exactly elected them to power or maybe the illegal foreigners will put them back to power ",unknown
2213, wave of xenophobic attacks with him at the helm The early warnings had long been on the wall that Operation Dudula which is set for a launch in Durban KwaZuluNatal has been laying ground fertile for xenophobic attacks but what did he do He just characterised the movement,unknown
2214,OperationDudula ,unknown
2215,"Where was the president when  South Africans were brutally killed in Diepsloot An immigrant dies all of a sudden he condemns violence in Diepsloot  Kahle kahle whos this president for 
SouthAfricansLivesMatter PutSouthAficansFirst VoetsekSAMedia",en
2216,They fanned the flames and now they are crying crocodile tears  politicians encouraged the lawlessness of Operation Dudula and now they are sorry Diepsloot residents hacked and burned ElvisNyathi to death Whos to blame Why did the deployed extra cops delay Breakfast,unknown
2217,"Reality isthe president dont care about South Africans the government dont care about South Africans the media dont care about South Africans South Africans Wake Up
PutSouthAficansFirst SouthAfricansLivesMatter Diepsloot OperationDudula nhlanhlalux",unknown
2218,OperationDudula OperationFiela PutSouthAficansFirst Zimbabweans Diepsloot ,en
2219,  This South African family man was killed by the foreigners  Do you perhaps still remember him Ooh he doesnt matter because hes South African killed by illegal immigrants right ,unknown
2220,   This South African family man   was killed by the foreigners  Do you still remember him ,en
2221,  never hid true colours about illegal immigrants with all the murders committed by the foreigners no political party condemned that The EFF is forever silent on this matter but only reacts when one foreigner has been murdered Lets condemn all that is wrong,en
2222,  No one is celebrating any killing of anyone here please dont intentionally misunderstand the facts We are celebrating the arresting of ILLEGAL IMMIGRANTS in Diepsloot which poses a threat within society of South Africa We are very rejoyful about the cleaning of illegality,unknown
2223,      This man was killed for stopping  foreigners from selling drugs to school children amp they killed him Our useless minister of Police said nothing about it so is our useless sabc You only care about them illegal foreigners,en
2224,A positive atmosphere nurtures a positive attitude which is required to take positive action JobSeekersSA Zimbabweans OperationDudula Diepsloot VoetsekSAMedia ,unknown
2225,If you are positive youll see opportunities instead of obstacles JobSeekersSA OperationDudula Diepsloot VoetsekSAMedia ,en
2226,   ,unknown
2227," You are so predictable Mmusi when it comes to your foreigner friends the untouchables 
Wheres a thread on the Limpopo family the Eastern Cape family the Baloyi family and now DiepslootWhy are you selectively in favour of foreigners against SA citizens",en
2228, Am not advocating for killings however in my area South African gardeners are no longer found at corners we used to get them from in Danville Ext  South African township welders are no longer in Business because foreigners went mass production Do need more examples,unknown
2229,So sad cos we fought against apartheid and conquered we are busy trying to win our economy back from white monopoly capital but we cant cos we are bombarded with unwelcomed visitors How are we ever gonna fix our problem without this people Zimbabweansgohome OperationDudula,en
2230,Nywe Nywe SA is owned by white foreigners Nywe Nywe manje nifunani Like why are you here though  eish OperationDudula,unknown
2231, Haibo dont make Europes problem our problem wena  Like you said European countries and in this instance is only SA thats carrying a load pile of shit called foreigners This is no Europe and we certainly not running Charity,en
2232,Lalelani guys this thing is simple the government declares national government emergency  must humbly request that all illegal immigrants vacate the premises of SA and we give them  weeks to pack Africans we are Peaceful and polite  Diepsloot OperationDudula,en
2233,Chairlady lets leave operation Dudula out of it Lets call out our ANC deployees and why havent the structures of the mother body called a bilateral with our deployees to discuss and solve this issue permanently Also even without Dudula people are fed up with this mess ,en
2234, your prophecy taking shape Flipflopper OperationDudula Diepsloot   ,unknown
2235,Zimbabweans ElvisNyathi OperationDudula Diepsloot ,af
2236,   Illegal foreigners and their government must also take responsibility including ANC,en
2237,South Africans we need to mobilize ourselves send this foreigners packing with immediate effect  Steve Biko Sobukwe and Winnie Mandela did not fight for us to be abused at home OperationDudula,en
2238,Two days ago a Zimbabwean thug just came to my window at the robot cnr albertina sisulu and Nugget he showed me his gun and said bring the phone I was terrified for my life  what have we done  to constantly live in fear OperationDudula Diepsloot Zimbabweansgohome,en
2239,OperationDudula its Time to take out our corrupt politicians and officials,en
2240,     Yes we are going to fix SA all undocumented foreigners ,en
2241,"We are being betrayed by our own Presidentai shame South Africa
PutSouthAficansFirst VoetsekSAMedia OperationDudula Dudulamovement nhlanhlalux ",en
2242,"  Its no longer about operationdudula and putsouthafricanfirst
Sorry buddy gotla loka
You will get the revenge you want next time Dont be like this 
Diepsloot
South Africa ",unknown
2243,"  It will just stay between us you cant just nail it or prove that operationdudula or putsouthafricanfirst are behind this just trying your luck here maybe you might get support to blame them The movements are here to stay wait and see
South Africa ",unknown
2244,"Diepsloot someone tell me this what it is
 is this your sister
nhlanhlalux operationdudula
A white lady is suffering from chest pains cause of you
South Africa ",unknown
2245,RIP to all South Africans who have died at the hands of illegal immigrants ,en
2246,     Better than being an illegal immigrant ,unknown
2247, Youre also not making sense the fact is that Gauteng local clinics and hospitals are flooded with illegal immigrants,en
2248,     You can justify however way you want but the fact remains that Gauteng clinics and hospitals are flooded with illegal immigrants,unknown
2249,We have a problem of illegal immigrants in SA,unknown
2250,"Lemme fix it
 Political Parties the one running government and those who are influential in the metros EFF DA etc
 Foreigners
 Inequalities from unemployment and lack of resources ",en
2251,Come visit us Prinsman place corner Nana Sita amp Sisulu str Pretoria                                                              Zola Operationdudula Rupert ,unknown
2252,Niyezwa ke Heed the call those whove come here as visitors siyancela as SAns  OperationDudula PutSouthAfricaFirst ,en
2253,Bonang OperationDudula  David Tlale ,st
2254, No illegal foreigners ,en
2255,"Basically is South Africans against politicians media and illegal foreigners 

PutSouthAficansFirst",unknown
2256, Let statistics speak Foreigners  crime SA  SaintsCruelty Who Necklace is a South African Brand Why I will have the last laugh on this one,unknown
2257,"PutSouthAficansFirst and OperationDudula is forcing Goverment to do its constitutional work We see immigration officials now on the streets 

What a lovely thing",en
2258,     Goodnight sir fact is that  of pregnant women in Gauteng hospitals and clinics are illegal immigrants The rest you can deal with it ,unknown
2259,   Let statistics speak Foreigners  crime SA  SaintsCruelty  Necklace is a South African Brand Why I will have the last laugh on this one,unknown
2260,"Including about  South Africans who died at the hands of illgel foreigners this year alone 

Akere sisi wa lekgowa ",unknown
2261,No to illegal immigrants ,en
2262,  It will educate Zimbabweans not me boss im proudly OperationDudula ,en
2263,South Africans lives do not matter acording to SA mediawe deserve whats happening to us in the hands of foreigners VoetsekSAMedia,unknown
2264,   Yep amp were expected to accept that plate of shit as SAns out of fear of being labelled as xenophobic Hell weve already got PTSD from witnessing and hearing about the gruesome acts of violence our fellow citizens suffer at the hands of foreigners How much more should we take ,en
2265,   Since operationdudula is not involved in this matter people are like ,en
2266,   Its lies because it was South Africans killed by foreigners akere It is clear that SA is not safe undocumented foreigners should go back to their countries to save their lives ANC government doesnt care about all of us,en
2267,To all Foreigners its not going to business as usual in SA The gravy train is coming to a stop This is our country If you want continued freedom please return to your countries OperationDudula PutSouthAfricaFirst ,en
2268,"Elvis Nyathi s wife speaks about the night her man father of her  children was murdered by OperationDudula of the violent lawless xenophobic thug  vigilante group who were asking for them to produce passport amp took money from her in Diepsloot
Zimbabweans  ",en
2269,    ,unknown
2270,We need the same energy when South Africans suffers hijackhouse robberyroad spikemurderdrugs an others at the hands of illegal immigrants  ,en
2271,Lol damn EFF is so dumb just exposed their mandate VoetsekEFF VoetsekSaMedia operationdudula ,en
2272,"Dude is popularnobody can take that away from him

However I think his messaging is beginning to be erratic amp lost

nhlanhlalux needs to get advice on how to formalize OperationDudula

Build it into something like Afriforum where it is selffunded organized amp has teeth ",unknown
2273, Could it be that your people are to stupid or to lazy to do anything for themselves Bangladeshis came to this country legal or illegal with  nothing but will try anything for a decent living I dont support illegal immigrants or criminal activities by them or anybody else,unknown
2274,"OperationFiela OperationDudula will end many African lives

Where are the supporters  happy now ",unknown
2275," This is like caring more about the neighbours child than your own child Its honestly disgusting
PutSouthAficansFirst SouthAfricansLivesMatter nhlanhlalux Dudulamovement OperationDudula Diepsloot lives",en
2276,Is there anything else besides the lack of political will thats preventing our government from deporting illegal immigrants in Diepsloot Patriots May you please balance me because I might be missing something PutSoutAfricaFirst ,unknown
2277,"Im also confused  what is wrong with SA media and SA Politicians South African lives matter too you know
PutSouthAficansFirst nhlanhlalux SouthAfricansLivesMatter
OperationDudula Dudulamovement  ",en
2278, The stats confirmed that its mostly foreigners who are arrested because theyre responsible for crime in Diepsloot,unknown
2279,All thanks to PutSouthAficansFirst OperationDudulakeep the pressure ,en
2280, Illegal immigrants commitng crime in the area,en
2281,"The community of Mabopane is experiencing a similar electricity situation as it happened in Soweto
They are told of an inherited bill that costs millions 
PutSouthAficansFirst OperationDudula Dudulamovement",en
2282,Since the influx of foreigners we cant even give lift to poor strangers,unknown
2283,    Im also not buying this why only him if they say they were knocking looking  undocumented foreigners,en
2284,    You dont need an MBA to realize that foreigners are breeding out of control This statistic sounds right to me,unknown
2285," Chriselda Lewis humanized the murdered illegal Zimbo The  SAns slaughtered by the very illegal alien nationals rnt worthy of SABCs humanity Their murders mean nothing to our Media This is not just bias this is cruelty
PutSouthAficansFirst 
OperationDudula",unknown
2286,"We gave them illegal foreigners Ubuntu today they are showing us middle finger 

GO HOME ",en
2287, Whats your view OperationDudula,en
2288,This people Illegal foreigners are the problem ,unknown
2289,"If you protect yourself from illegal foreigners you will be called xenophobic by SA media

GO HOME",unknown
2290,"Diepsloot Ive sent and email to public protector I want to understand why when foreigners commit crimes media do cover up those stories all politicians keep quiet about it
South Africa ",en
2291,Wen its not OperationDudula it will will PutSouthAficansFirst or just concerned citizens We will see who yall can stop ,unknown
2292,    What is more despicable is when foreigners flood a country illegally and commits all kinds of crimes,en
2293, Minister dlamini zuma invited immigrants in with her open border when she was chair of the AU they served their purpose now they must leave ANC users and abusers,unknown
2294,Wait till you get past thinking foreigners are the problem I cant wait Im setting a reminder for that day,en
2295,NAME,unknown
2296,EFFLandDay WOW  OPERATIONDUDULA ,en
2297, What about   I mean  people killed by Zimbabweans not making international news So sad Sophie that you dont value your country men who had to die in their own country because of illegal foreigners,en
2298,Citizens refuse for foreigners to be important than themthey will do anything to make sure of that,en
2299,"Your stupid narratives are making ordinary South Africans   to be angrier
OperationDudula 
DiepslootProtest 
PutSouthAfricanFirst",unknown
2300,"OperationDudula and PutSouthAfricanFirst want goverment to uphold the laws on this country 

Is as simple as tht",en
2301,    Marete,unknown
2302,   First of all here does not have any document so im not gonna argue here about someone who stays here illegally  May his soul rest in peace we lost  innocent  people over that weeknd according to you they deserve to die And one illegal immigrant should be alive,en
2303,You cant say you are for the rule of law and then support illigal immigrants,en
2304,"  I wish you would keep the same energy when the daily reports of illegal immigrants being involved in heinous crimes pop up 

But no Only illegal immigrants lives matter in South Africa No one elses",unknown
2305,    Youre catching blocks every week mos,en
2306,SOLVED EFF is popular on SM and rallies coz its supported by foreigners who are null and void at the polls thus poor election results back to back  ,en
2307,In your mind you think by saying imchangan while I am mutsonga then I should be scared not to call illigal immigrants and speak about PutSouthAficansFirst or dudula last time I check they were calling for deportation of illigal foreigners if they know where I come from let them ,en
2308,so damn annoyed by this operation dudula nonsense South Africa is too volatile a country for anyone to be going around accusing people of crimes without following the appropriate legal steps,unknown
2309,     They really need to all foreigners,en
2310,  ,unknown
2311,SenzoMeyiwa OperationDudula DJ Tira Fourways Boity ,rw
2312,  Progenda lies,unknown
2313,White Privilege Rules Kim Heller speaks facts amp painful truth of how we black people have been conditioned to speak English and give our kids English names to accommodate minority white folks  Diepsloot WhitePrivilege OperationDudula ,en
2314,OperationDudula come to katlehong,en
2315,OperationDudula criminals and their Leader Nhlanhla Lux must be arrested for burning this man alive Heartless criminals  ,en
2316,    This doesnt make sense to me mob justice is wrong and doesnt happen only to foreigners crime is crime there is no xenophobia here Foreigners are mugging us daily at the CBD,unknown
2317,During my tertiary years I would walk to      and many other restaurants asking for Jobs during schools holidays and those jobs were available specifically for students But lately all those jobs are occupied by foreigners,unknown
2318,If only Elvis Nyathi was in his home country none of this would have happened Abahambe OperationDudula ,en
2319, check ,unknown
2320,foreign nationals can murder civilians rape and kill police when community rises against that government is quick to cry xenophobia I will take foreign nationals seriously the day they organize a march against their own for committing crimesOperationDudula,en
2321,I wish the media could make noise about  South Africans killed in Diepsloot as much as they make about the  killed OperationDudula Diepsloot,en
2322,I posted  on my status and mom got very excited Should I tell her,en
2323,"Meet Haward Simpson farming watermelon  very please to see young people in farming

farming farm Farmers agriculture nhlanhlalux OperationDudula SenzoMeyiwa sk khoza Boity Tembisa  Diepsloot Elvis nyathi Shalulile Pearl thusi GhostNation gayton Seshego ",zu
2324,"We fight for age discrimination at workplace JobSeekersSA OperationDudula PutSouthAfricanFirst Tembisa Diepsloot 
",unknown
2325,OPERATION DUDULA has a ripple effect Now innocent people are experiencing vigilantism ,en
2326,"Age is not a curse Its a Blessing
JobSeekersSA OperationDudula
PutSouthAfricanFirst
",en
2327,I understand the problem of illegal immigrants but killing of an individual because of no passport,unknown
2328,Arrest OperationDudula and ArrestNhlanhlaLuxNow,en
2329,"PIC ONE  a Mozambican immigrant Emmanuel Sithole was brutally killed in  April  His killing was motivated by Xenophobic attacks

PIC TWO  a Zimbabwean immigrant Elvis Nyathi burnt to death yesterday  April  His killing was motivated by Xenophobic attacks ",unknown
2330,"Whats going on in SA Why are Foreigners so protected

Without condoning anything but why theres condemnation for murder of Elvis Nyathi but never the case when foreigners kill South Africans

Whats going on",en
2331,   hows this criminal called Nhlanhla Lux allowed to roam around the streets of Johannesburg attending heartless vigilante groups that kills people while out on bail for house breaking amp assaulting an innocent man ArrestNhlanhlaLux ,en
2332,      Whatever man,en
2333,The unruly xenophobic thug   of  OperationDudula went all the way to Diepsloot to hijack the community protest  and burnt a Zimbabwean citizen alive Remember the violent lawless Nhlanhla Lux is on bail for attacking an old man amp stealing his groceries amp monies ,unknown
